i,j,price,amplitude,lower_bound,upper_bound
spill_New Melones.2010-11-30 00:00:00,flow_New Melones.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
flow_New Melones.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-11-30 00:00:00,stor_Pine Flat.2010-11-30 00:00:00,0.0,1.0,219.435300715,219.435300715
stor_Pine Flat.2010-11-30 00:00:00,stor_Pine Flat.2010-12-31 00:00:00,638.647407445,0.999282708,148.0178226,1233.481855
stor_Pine Flat.2010-11-30 00:00:00,flow_Pine Flat.2010-11-30 00:00:00,5740.63397361,1.0,0.0,588.646084637
stor_Pine Flat.2010-11-30 00:00:00,spill_Pine Flat.2010-11-30 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Pine Flat.2010-11-30 00:00:00,flow_Pine Flat.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Pine Flat.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,1.0,0.0,10000000000.0
SUPERSOURCE,INFLOW.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
DELTA.2010-12-31 00:00:00,SUPERSINK,0.0,1.0,0.0,10000000000.0
INFLOW.2010-12-31 00:00:00,stor_Shasta.2010-12-31 00:00:00,0.0,1.0,998.388599138,998.388599138
stor_Shasta.2010-12-31 00:00:00,stor_Shasta.2011-01-31 00:00:00,968.509968523,0.999171932,662.0238805,5614.932874
stor_Shasta.2010-12-31 00:00:00,flow_Shasta.2010-12-31 00:00:00,7877.79990105,1.0,0.0,4106.65280227
stor_Shasta.2010-12-31 00:00:00,spill_Shasta.2010-12-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Shasta.2010-12-31 00:00:00,flow_Shasta.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Shasta.2010-12-31 00:00:00,stor_Keswick.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-12-31 00:00:00,stor_Keswick.2010-12-31 00:00:00,0.0,1.0,0.0,0.0
stor_Keswick.2010-12-31 00:00:00,stor_Keswick.2011-01-31 00:00:00,70635.8217593,1.0,0.0,29.35686722
stor_Keswick.2010-12-31 00:00:00,flow_Keswick.2010-12-31 00:00:00,939.774714369,1.0,0.0,4414.56122045
stor_Keswick.2010-12-31 00:00:00,spill_Keswick.2010-12-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Keswick.2010-12-31 00:00:00,flow_Keswick.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Keswick.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-12-31 00:00:00,stor_Folsom.2010-12-31 00:00:00,0.0,1.0,810.426582718,810.426582718
stor_Folsom.2010-12-31 00:00:00,stor_Folsom.2011-01-31 00:00:00,1732.74759429,0.998749063,111.013367,1202.644809
stor_Folsom.2010-12-31 00:00:00,flow_Folsom.2010-12-31 00:00:00,5372.43463776,1.0,0.0,2874.3837863
stor_Folsom.2010-12-31 00:00:00,spill_Folsom.2010-12-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Folsom.2010-12-31 00:00:00,flow_Folsom.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Folsom.2010-12-31 00:00:00,stor_Nimbus.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-12-31 00:00:00,stor_Nimbus.2010-12-31 00:00:00,0.0,1.0,0.0,0.0
stor_Nimbus.2010-12-31 00:00:00,stor_Nimbus.2011-01-31 00:00:00,51913.5103313,1.0,0.0,10.85464056
stor_Nimbus.2010-12-31 00:00:00,flow_Nimbus.2010-12-31 00:00:00,440.9385379,1.0,0.0,2881.62115834
stor_Nimbus.2010-12-31 00:00:00,spill_Nimbus.2010-12-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Nimbus.2010-12-31 00:00:00,flow_Nimbus.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Nimbus.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-12-31 00:00:00,stor_New Melones.2010-12-31 00:00:00,0.0,1.0,214.632551181,214.632551181
stor_New Melones.2010-12-31 00:00:00,stor_New Melones.2011-01-31 00:00:00,417.109234705,0.999321932,98.67854843,2985.02609
stor_New Melones.2010-12-31 00:00:00,flow_New Melones.2010-12-31 00:00:00,8629.09569899,1.0,0.0,581.376673152
stor_New Melones.2010-12-31 00:00:00,spill_New Melones.2010-12-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_New Melones.2010-12-31 00:00:00,flow_New Melones.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_New Melones.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2010-12-31 00:00:00,stor_Pine Flat.2010-12-31 00:00:00,0.0,1.0,362.09940105,362.09940105
stor_Pine Flat.2010-12-31 00:00:00,stor_Pine Flat.2011-01-31 00:00:00,608.019992203,0.999282708,148.0178226,1233.481855
stor_Pine Flat.2010-12-31 00:00:00,flow_Pine Flat.2010-12-31 00:00:00,5465.3319973,1.0,0.0,588.646084637
stor_Pine Flat.2010-12-31 00:00:00,spill_Pine Flat.2010-12-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Pine Flat.2010-12-31 00:00:00,flow_Pine Flat.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Pine Flat.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,1.0,0.0,10000000000.0
SUPERSOURCE,INFLOW.2011-01-31 00:00:00,0.0,1.0,0.0,10000000000.0
DELTA.2011-01-31 00:00:00,SUPERSINK,0.0,1.0,0.0,10000000000.0
INFLOW.2011-01-31 00:00:00,stor_Shasta.2011-01-31 00:00:00,0.0,1.0,551.018837486,551.018837486
stor_Shasta.2011-01-31 00:00:00,stor_Shasta.2011-02-28 00:00:00,923.40005863,0.999171932,662.0238805,5614.932874
