i,j,a3,a2,a1,c,efficiency,price,amplitude,lower_bound,upper_bound,warmstart
flow_Keswick.2010-11-30 00:00:00,DELTA.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,2483.76624462
INFLOW.2010-11-30 00:00:00,stor_Folsom.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,153.232494611,153.232494611,153.232496143
stor_Folsom.2010-11-30 00:00:00,stor_Folsom.2010-12-31 00:00:00,3.21e-08,-8.67e-05,0.101747899,50.60394701,0.829199799,0.0,0.998749063,111.013367,1202.644809,691.634456068
stor_Folsom.2010-11-30 00:00:00,flow_Folsom.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,31.9661698642,1.0,0.0,2874.3837863,169.918898283
stor_Folsom.2010-11-30 00:00:00,spill_Folsom.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983995256e-09
spill_Folsom.2010-11-30 00:00:00,flow_Folsom.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983991845e-09
flow_Folsom.2010-11-30 00:00:00,stor_Nimbus.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,169.918898273
INFLOW.2010-11-30 00:00:00,stor_Nimbus.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.9974006204e-09
stor_Nimbus.2010-11-30 00:00:00,stor_Nimbus.2010-12-31 00:00:00,0.009269121,-0.253804847,2.705583428,1.427740357,0.783712755,0.0,1.0,0.0,10.85464056,10.8546406685
stor_Nimbus.2010-11-30 00:00:00,flow_Nimbus.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,31.9661698642,1.0,0.0,2881.62115834,169.918898293
stor_Nimbus.2010-11-30 00:00:00,spill_Nimbus.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983994643e-09
spill_Nimbus.2010-11-30 00:00:00,flow_Nimbus.2010-11-30 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.9998399246e-09
