datetime,SHA,KES,FOL,NAT,NML,PNF
2015-09-30,77.6245203993,0,20.0299610549,0,15.5432353053,6.88712913808
2015-10-31,77.0814642963,0,11.2291903073,0,25.4169202217,6.89305892967
2015-11-30,89.556099185,0,13.6428602401,0,32.0177409163,9.6088894111
2015-12-31,148.790910624,0,63.9717917633,0,40.9298329027,13.2364893805
2016-01-31,473.335736708,0,150.700356719,0,48.582917528,27.0468516368
2016-03-31,756.542685652,0,322.904123615,0,84.7043671202,57.801478487
2016-04-30,237.894197162,0,162.552388257,0,59.181895598,84.2578401321
2016-05-31,148.48296491,0,133.650379702,0,65.9114957829,116.24396818
2016-06-30,126.178415061,0,74.9246466885,0,50.1143692421,120.902003242
2016-07-31,101.679213151,0,48.1223501018,0,25.6514095956,40.3807753295
2016-08-31,99.0470023683,0,43.090248476,0,23.4294124926,20.0124748943
2016-09-30,96.8029899312,0,34.9705587952,0,20.626148671,18.0049132044
2016-10-31,155.588095711,0,57.0132310945,0,22.5950931337,17.5459785642
2016-11-30,201.382887257,0,78.2724845828,0,17.9086359251,13.875137043
2016-12-31,356.198341561,0,255.84191338,0,49.914989206,35.1321582968
2017-01-31,669.686276222,0,633.790866615,0,179.25077965,170.510008392
2017-02-28,1384.97837733,0,997.188006674,0,291.852008113,200.138418017
2017-03-31,576.098716283,0,320.852902977,0,133.124196357,132.477723502
2017-04-30,598.286956457,0,408.754473023,0,171.231541191,213.674325975
2017-05-31,294.972598871,0,393.291393933,0,199.889650601,353.407457478
2017-06-30,178.173298246,0,224.852322672,0,177.763608532,430.721975005
2017-07-31,128.328068456,0,86.3083985175,0,69.2895738371,198.690942138
2017-08-31,117.194732959,0,66.2772931168,0,41.5027542712,69.2797542845
2017-09-30,115.899871548,0,55.2638271976,0,35.1497021814,37.1895770471
2017-10-31,76.96519015,0,55.41606958,0,15.03624576,38.51091192
