link,value
"('stor_Pine Flat.2010-12-31 00:00:00', 'spill_Pine Flat.2010-12-31 00:00:00')",0.0
"('spill_Pine Flat.2010-12-31 00:00:00', 'flow_Pine Flat.2010-12-31 00:00:00')",0.0
"('flow_Pine Flat.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",48.0801108154
"('SUPERSOURCE', 'INFLOW.2011-01-31 00:00:00')",1305.03340509
"('DELTA.2011-01-31 00:00:00', 'SUPERSINK')",3352.81992194
"('INFLOW.2011-01-31 00:00:00', 'stor_Shasta.2011-01-31 00:00:00')",551.018837486
"('stor_Shasta.2011-01-31 00:00:00', 'flow_Shasta.2011-01-31 00:00:00')",1779.50078062
"('stor_Shasta.2011-01-31 00:00:00', 'spill_Shasta.2011-01-31 00:00:00')",0.0
"('spill_Shasta.2011-01-31 00:00:00', 'flow_Shasta.2011-01-31 00:00:00')",0.0
"('flow_Shasta.2011-01-31 00:00:00', 'stor_Keswick.2011-01-31 00:00:00')",1779.50078062
"('INFLOW.2011-01-31 00:00:00', 'stor_Keswick.2011-01-31 00:00:00')",0.0
"('stor_Keswick.2011-01-31 00:00:00', 'flow_Keswick.2011-01-31 00:00:00')",1779.50078062
"('stor_Keswick.2011-01-31 00:00:00', 'spill_Keswick.2011-01-31 00:00:00')",0.0
"('spill_Keswick.2011-01-31 00:00:00', 'flow_Keswick.2011-01-31 00:00:00')",0.0
"('flow_Keswick.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",1779.50078062
"('INFLOW.2011-01-31 00:00:00', 'stor_Folsom.2011-01-31 00:00:00')",404.802700727
"('stor_Folsom.2011-01-31 00:00:00', 'flow_Folsom.2011-01-31 00:00:00')",403.29638353
"('stor_Folsom.2011-01-31 00:00:00', 'spill_Folsom.2011-01-31 00:00:00')",0.0
"('spill_Folsom.2011-01-31 00:00:00', 'flow_Folsom.2011-01-31 00:00:00')",0.0
"('flow_Folsom.2011-01-31 00:00:00', 'stor_Nimbus.2011-01-31 00:00:00')",403.29638353
"('INFLOW.2011-01-31 00:00:00', 'stor_Nimbus.2011-01-31 00:00:00')",0.0
