date,DELTA,INFLOW,flow_Folsom,flow_Keswick,flow_New Melones,flow_Nimbus,flow_Pine Flat,flow_Shasta,spill_Folsom,spill_Keswick,spill_New Melones,spill_Nimbus,spill_Pine Flat,spill_Shasta,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2013-04-30 00:00:00,-0.0,0.0,-526.806477469,-0.0,-0.0,-0.0,-0.0,-1122.78551353,-526.806477469,-0.0,-0.0,-0.0,-0.0,-1122.78551353,-6945.46379895,-1122.78551353,-10456.213739,-526.806477469,-6529.64548623,-10534.7005101
2013-05-31 00:00:00,-0.0,0.0,-537.779119122,-0.0,-0.0,-0.0,-0.0,-1146.17155539,-537.779119122,-0.0,-0.0,-0.0,-0.0,-1146.17155539,-7090.12799521,-1146.17155539,-10524.2501375,-537.779119122,-6665.64877452,-10754.1234488
2013-06-30 00:00:00,-0.0,0.0,-525.522142475,-0.0,-0.0,-0.0,-0.0,-1120.04821388,-525.522142475,-0.0,-0.0,-0.0,-0.0,-1120.04821388,-6928.53097567,-1120.04821388,-10284.3832068,-525.522142475,-6513.72639377,-10509.0171702
2013-07-31 00:00:00,-0.0,0.0,-564.337316548,-0.0,-0.0,-0.0,-0.0,-1202.77518987,-564.337316548,-0.0,-0.0,-0.0,-0.0,-1202.77518987,-7440.27367653,-1202.77518987,-11043.9896878,-564.337316548,-6994.83150108,-11285.2153285
2013-08-31 00:00:00,-0.0,0.0,-581.940209873,-0.0,-0.0,-0.0,-0.0,-1240.29233083,-581.940209873,-0.0,-0.0,-0.0,-0.0,-1240.29233083,-7672.35174593,-1240.29233083,-11388.4754315,-581.940209873,-7213.0153654,-11637.2254129
2013-09-30 00:00:00,-0.0,0.0,-548.550151197,-0.0,-0.0,-0.0,-0.0,-1169.12792577,-548.550151197,-0.0,-0.0,-0.0,-0.0,-1169.12792577,-7232.13432144,-1169.12792577,-10845.7119753,-548.550151197,-6799.15328206,-10969.5149039
2013-10-31 00:00:00,-0.0,0.0,-560.5134473,-0.0,-0.0,-0.0,-0.0,-1194.62535546,-560.5134473,-0.0,-0.0,-0.0,-0.0,-1194.62535546,-7389.85938564,-1194.62535546,-10969.1571382,-560.5134473,-6947.43558127,-11208.7483364
2013-11-30 00:00:00,-0.0,0.0,-582.520073823,-0.0,-0.0,-0.0,-0.0,-1241.52820268,-582.520073823,-0.0,-0.0,-0.0,-0.0,-1241.52820268,-7679.99679438,-1241.52820268,-11399.8233064,-582.520073823,-7220.20269274,-11648.8211799
2013-12-31 00:00:00,-0.0,0.0,-732.595442284,-0.0,-0.0,-0.0,-0.0,-1561.38464999,-732.595442284,-0.0,-0.0,-0.0,-0.0,-1561.38464999,-9658.60386616,-1561.38464999,-14336.7740462,-732.595442284,-9080.35242568,-14649.9213877
2014-01-31 00:00:00,-0.0,0.0,-651.989732256,-0.0,-0.0,-0.0,-0.0,-1389.58925118,-651.989732256,-0.0,-0.0,-0.0,-0.0,-1389.58925118,-8595.89092487,-1389.58925118,-13653.4976274,-651.989732256,-8081.26308516,-13052.9358673
2014-02-28 00:00:00,-0.0,0.0,-849.924473157,-0.0,-0.0,-0.0,-0.0,-1811.44867019,-849.924473157,-0.0,-0.0,-0.0,-0.0,-1811.44867019,-11205.480401,-1811.44867019,-16490.9122098,-849.924473157,-10534.6188424,-16996.1838254
2014-03-31 00:00:00,-0.0,0.0,-647.248679251,-0.0,-0.0,-0.0,-0.0,-1379.48461658,-647.248679251,-0.0,-0.0,-0.0,-0.0,-1379.48461658,-8533.38456385,-1379.48461658,-15698.1091135,-647.248679251,-9370.20086232,-15143.4325808
2014-04-30 00:00:00,-0.0,0.0,-581.803028427,-0.0,-0.0,-0.0,-0.0,-1239.99996559,-581.803028427,-0.0,-0.0,-0.0,-0.0,-1239.99996559,-7670.54325276,-1239.99996559,-15096.4908324,-581.803028427,-8484.42123295,-13734.3179889
2014-05-31 00:00:00,-0.0,0.0,-479.630615386,-0.0,-0.0,-0.0,-0.0,-1022.23934282,-479.630615386,-0.0,-0.0,-0.0,-0.0,-1022.23934282,-6323.49301997,-1022.23934282,-14556.3731539,-479.630615386,-7688.25023586,-12467.7852482
2014-06-30 00:00:00,-0.0,0.0,-509.615713664,-0.0,-0.0,-0.0,-0.0,-1086.14674942,-509.615713664,-0.0,-0.0,-0.0,-0.0,-1086.14674942,-6718.81921515,-1086.14674942,-14112.5397516,-509.615713664,-7032.39556994,-11424.6218784
2014-07-31 00:00:00,-0.0,0.0,-608.463067711,-0.0,-0.0,-0.0,-0.0,-1296.82064464,-608.463067711,-0.0,-0.0,-0.0,-0.0,-1296.82064464,-8022.0315377,-1296.82064464,-13640.04058,-608.463067711,-7541.76012772,-12167.6106392
2014-08-31 00:00:00,-0.0,0.0,-631.123232605,-0.0,-0.0,-0.0,-0.0,-1345.11639,-631.123232605,-0.0,-0.0,-0.0,-0.0,-1345.11639,-8320.78518115,-1345.11639,-13073.7153943,-631.123232605,-7822.627655,-12620.7526001
2014-09-30 00:00:00,-0.0,0.0,-618.108617285,-0.0,-0.0,-0.0,-0.0,-1317.37825394,-618.108617285,-0.0,-0.0,-0.0,-0.0,-1317.37825394,-8149.19929889,-1317.37825394,-12485.570368,-618.108617285,-7661.31451849,-12360.4954771
2014-10-31 00:00:00,-0.0,0.0,-574.382290665,-0.0,-0.0,-0.0,-0.0,-1224.18410453,-574.382290665,-0.0,-0.0,-0.0,-0.0,-1224.18410453,-7572.70753316,-1224.18410453,-11909.3375529,-574.382290665,-7119.33671239,-11486.0876728
2014-11-30 00:00:00,-0.0,0.0,-581.204461281,-0.0,-0.0,-0.0,-0.0,-1238.72422602,-581.204461281,-0.0,-0.0,-0.0,-0.0,-1238.72422602,-7662.65163649,-1238.72422602,-11374.0769887,-581.204461281,-7203.89593629,-11622.5124825
2014-12-31 00:00:00,-0.0,0.0,-485.301657199,-0.0,-0.0,-0.0,-0.0,-1034.32605994,-485.301657199,-0.0,-0.0,-0.0,-0.0,-1034.32605994,-6398.26044353,-1034.32605994,-10831.9997616,-485.301657199,-6407.63115482,-10355.5442944
2015-01-31 00:00:00,-0.0,0.0,-467.257657154,-0.0,-0.0,-0.0,-0.0,-995.868787509,-467.257657154,-0.0,-0.0,-0.0,-0.0,-995.868787509,-6160.36677248,-995.868787509,-10380.2747153,-467.257657154,-5791.55142271,-9343.88547792
2015-02-28 00:00:00,-0.0,0.0,-378.238506787,-0.0,-0.0,-0.0,-0.0,-806.141782007,-378.238506787,-0.0,-0.0,-0.0,-0.0,-806.141782007,-4986.73030239,-806.141782007,-9945.31202769,-378.238506787,-5151.39664942,-8325.31001149
2015-03-31 00:00:00,-0.0,0.0,-384.262956843,-0.0,-0.0,-0.0,-0.0,-818.981722314,-384.262956843,-0.0,-0.0,-0.0,-0.0,-818.981722314,-5066.15720075,-818.981722314,-9594.26256339,-384.262956843,-4762.85119876,-7684.21666572
2015-04-30 00:00:00,-0.0,0.0,-411.062024281,-0.0,-0.0,-0.0,-0.0,-876.098725113,-411.062024281,-0.0,-0.0,-0.0,-0.0,-876.098725113,-5419.47850734,-876.098725113,-9237.2760076,-411.062024281,-5095.01950912,-8220.12536574
2015-05-31 00:00:00,-0.0,0.0,-393.645162388,-0.0,-0.0,-0.0,-0.0,-838.978075197,-393.645162388,-0.0,-0.0,-0.0,-0.0,-838.978075197,-5189.85303756,-838.978075197,-8854.69646353,-393.645162388,-4879.14146311,-7871.83527321
2015-06-30 00:00:00,-0.0,0.0,-484.404274764,-0.0,-0.0,-0.0,-0.0,-1032.41346564,-484.404274764,-0.0,-0.0,-0.0,-0.0,-1032.41346564,-6386.42932604,-1032.41346564,-9479.71312423,-484.404274764,-6004.07986736,-9686.77141738
2015-07-31 00:00:00,-0.0,0.0,-454.201919863,-0.0,-0.0,-0.0,-0.0,-968.04301897,-454.201919863,-0.0,-0.0,-0.0,-0.0,-968.04301897,-5988.23877988,-968.04301897,-9027.91939833,-454.201919863,-5629.72866776,-9082.80625168
2015-08-31 00:00:00,-0.0,0.0,-482.593716785,-0.0,-0.0,-0.0,-0.0,-1028.55462453,-482.593716785,-0.0,-0.0,-0.0,-0.0,-1028.55462453,-6362.5587283,-1028.55462453,-9444.28073537,-482.593716785,-5981.63839158,-9650.56523474
2015-09-30 00:00:00,-0.0,0.0,-466.273385223,-0.0,-0.0,-0.0,-0.0,-993.771000153,-466.273385223,-0.0,-0.0,-0.0,-0.0,-993.771000153,-6147.39002765,-993.771000153,-9124.89455401,-466.273385223,-5779.35161453,-9324.20273357
2015-10-31 00:00:00,-0.0,0.0,-459.561076896,-0.0,-0.0,-0.0,-0.0,-979.465024747,-459.561076896,-0.0,-0.0,-0.0,-0.0,-979.465024747,-6058.89442246,-979.465024747,-8690.01114465,-459.561076896,-5696.15415598,-9189.9748857
2015-11-30 00:00:00,-0.0,0.0,-395.837928524,-0.0,-0.0,-0.0,-0.0,-843.651530841,-395.837928524,-0.0,-0.0,-0.0,-0.0,-843.651530841,-5218.76270726,-843.651530841,-8261.18218768,-395.837928524,-5066.54388513,-8188.17722063
2015-12-31 00:00:00,-0.0,0.0,-389.516237049,-0.0,-0.0,-0.0,-0.0,-830.17807843,-389.516237049,-0.0,-0.0,-0.0,-0.0,-830.17807843,-5135.41694615,-830.17807843,-7892.34168185,-389.516237049,-4827.96436212,-7789.26803684
