date,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2013-07-31 00:00:00,2440.42448321,90441.11588,870.831355379,66459.3584628,991.340244507,1582.20957882
2013-08-31 00:00:00,1837.0120804,93152.3167796,0.0,68480.8261312,383.410682966,600.861562918
2013-09-30 00:00:00,2304.29366544,87900.0829612,634.991307093,64595.032093,899.809836407,1435.01848462
2013-10-31 00:00:00,2483.52036308,89837.9386828,953.445329123,66013.5614901,1040.68467078,1661.93665241
2013-11-30 00:00:00,4258.10563907,93636.2271958,3480.2550214,68732.5611353,2658.21691997,4270.93630714
2013-12-31 00:00:00,1804.05561079,117185.787418,0.0,86170.8715478,4.58485584208,0.0
2014-01-31 00:00:00,5160.93447093,104866.870435,3444.90501416,76959.3687313,3346.59813192,5364.50868288
2014-02-28 00:00:00,653.800856823,135721.059044,0.0,99862.4324431,0.0,0.0
2014-03-31 00:00:00,1669.95107536,103546.040251,0.0,76137.8070503,0.0,0.0
2014-04-30 00:00:00,929.642379381,92983.7445726,0.0,68395.8947011,0.0,0.0
2014-05-31 00:00:00,2272.20107613,76897.9798601,0.0,56498.8732859,0.0,0.0
2014-06-30 00:00:00,3297.42399649,81848.1868346,0.0,60098.003325,1207.03713148,1852.87815591
2014-07-31 00:00:00,2679.77150904,97520.5862175,0.0,71659.5219106,1114.47729228,1779.53122974
2014-08-31 00:00:00,2298.10496663,101074.579207,0.0,74291.7207447,703.341618266,1115.52898813
2014-09-30 00:00:00,1842.27079672,98924.2587982,0.0,72728.7449635,304.846586591,473.007821187
2014-10-31 00:00:00,2337.59816776,92027.2854464,0.0,67631.2140578,871.477458049,1388.52127954
2014-11-30 00:00:00,1009.95916926,92901.2202125,0.0,68331.6909119,0.0,0.0
2014-12-31 00:00:00,1661.17299159,77704.0825486,0.0,57118.5170041,48.5141024968,45.7113391012
2015-01-31 00:00:00,654.82093308,74662.2668408,0.0,54923.1478884,0.0,0.0
2015-02-28 00:00:00,1559.53751741,60604.4774134,0.0,44537.6004852,129.318332473,182.797978153
2015-03-31 00:00:00,1857.00661629,61613.8374269,0.0,45267.6588256,858.618258268,1373.56391914
2015-04-30 00:00:00,1378.92910089,65812.6554179,0.0,48378.6074981,347.287281591,547.784411967
2015-05-31 00:00:00,2736.97572118,63253.1305431,991.380186912,46436.2240884,1664.24222014,2673.04368291
2015-06-30 00:00:00,1497.36449296,77534.4142015,0.0,57000.7079365,289.294893728,451.988203705
2015-07-31 00:00:00,2151.68811987,72821.0523942,839.891463137,53503.4545521,974.177795043,1557.87421626
2015-08-31 00:00:00,1673.30131205,77273.9584525,130.718880698,56801.4242633,458.878795519,725.643960726
2015-09-30 00:00:00,1736.1102431,74680.0131716,0.0,54889.5726066,555.608833448,882.201981002
2015-10-31 00:00:00,958.20771406,73483.2339336,0.0,54042.295049,0.0,0.0
2015-11-30 00:00:00,1465.63433519,63397.4911414,0.0,46597.3077349,303.613437342,463.752473247
2015-12-31 00:00:00,1261.99485126,62355.8704254,0.0,45839.4590963,287.10021096,451.336810413
2016-01-31 00:00:00,0.0,58923.7297432,0.0,43717.9401368,0.0,0.0
2016-03-31 00:00:00,992.83563467,37625.5938755,0.0,27299.4748735,0.0,0.0
2016-04-30 00:00:00,1480.80954346,42629.2118175,0.0,31311.2105659,316.64254317,484.059717882
2016-05-31 00:00:00,2122.28091919,48072.8276723,823.848878811,35290.0411881,1304.57033218,2095.63959758
2016-06-30 00:00:00,2488.60257477,59650.4892374,1883.47396674,43795.3950235,1482.28825379,2380.16538861
2016-07-31 00:00:00,1880.2927804,72085.2497226,597.544921955,52973.6098775,729.043027515,1162.51406318
2016-08-31 00:00:00,1991.99449299,73554.3329798,719.009635234,54050.0371615,813.060864041,1297.78867208
2016-09-30 00:00:00,1617.71188095,75866.0560895,75.4936187119,55767.6073317,426.859798744,674.252944817
2016-10-31 00:00:00,908.880724695,72889.8055057,0.0,53607.6591335,0.0,0.0
2016-11-30 00:00:00,2605.92577377,62573.1572498,0.0,45941.4169184,1021.31125993,2155.96831372
2016-12-31 00:00:00,1605.1592309,75502.5430946,0.0,55500.6020574,0.0,0.0
2017-01-31 00:00:00,684.133708739,72447.3629432,0.0,53291.7145327,0.0,0.0
2017-02-28 00:00:00,539.374344304,59233.4875067,0.0,43572.5544427,0.0,0.0
2017-03-31 00:00:00,1434.95765069,48350.893259,0.0,35524.3417127,0.0,469.514434169
2017-04-30 00:00:00,1751.03114996,51486.5289069,686.391545404,37818.5357828,0.0,1450.77917101
2017-05-31 00:00:00,1797.3615985,57488.343144,920.084224612,42233.870759,0.0,1379.96781421
2017-06-30 00:00:00,2622.99037261,62397.68324,531.09675696,45811.5312603,3992.66640183,2519.85383783
2017-07-31 00:00:00,2394.48845624,75711.336652,0.0,55620.2298389,1161.18737224,1859.04467739
2017-08-31 00:00:00,2830.70639897,82404.3959616,0.0,60527.5029285,0.0,2364.81824922
2017-09-30 00:00:00,0.0,91706.9736313,0.0,67543.2678033,0.0,0.0
2017-10-31 00:00:00,0.0,50945.1909843,0.0,37624.5151982,0.0,0.0
