link,value
"('stor_Pine Flat.2012-04-30 00:00:00', 'stor_Pine Flat.2012-05-31 00:00:00')",999.406572743
"('stor_Shasta.2012-05-31 00:00:00', 'stor_Shasta.2012-06-30 00:00:00')",5614.932874
"('stor_Keswick.2012-05-31 00:00:00', 'stor_Keswick.2012-06-30 00:00:00')",29.35686722
"('stor_Folsom.2012-05-31 00:00:00', 'stor_Folsom.2012-06-30 00:00:00')",1202.644809
"('stor_Nimbus.2012-05-31 00:00:00', 'stor_Nimbus.2012-06-30 00:00:00')",10.85464056
"('stor_New Melones.2012-05-31 00:00:00', 'stor_New Melones.2012-06-30 00:00:00')",2857.95785276
"('stor_Pine Flat.2012-05-31 00:00:00', 'stor_Pine Flat.2012-06-30 00:00:00')",1233.481855
"('stor_Shasta.2012-06-30 00:00:00', 'stor_Shasta.2012-07-31 00:00:00')",5614.932874
"('stor_Keswick.2012-06-30 00:00:00', 'stor_Keswick.2012-07-31 00:00:00')",29.35686722
"('stor_Folsom.2012-06-30 00:00:00', 'stor_Folsom.2012-07-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-06-30 00:00:00', 'stor_Nimbus.2012-07-31 00:00:00')",10.85464056
"('stor_New Melones.2012-06-30 00:00:00', 'stor_New Melones.2012-07-31 00:00:00')",2925.61869178
"('stor_Pine Flat.2012-06-30 00:00:00', 'stor_Pine Flat.2012-07-31 00:00:00')",1233.481855
"('stor_Shasta.2012-07-31 00:00:00', 'stor_Shasta.2012-08-31 00:00:00')",5614.932874
"('stor_Keswick.2012-07-31 00:00:00', 'stor_Keswick.2012-08-31 00:00:00')",29.35686722
"('stor_Folsom.2012-07-31 00:00:00', 'stor_Folsom.2012-08-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-07-31 00:00:00', 'stor_Nimbus.2012-08-31 00:00:00')",10.85464056
"('stor_New Melones.2012-07-31 00:00:00', 'stor_New Melones.2012-08-31 00:00:00')",2985.02609
"('stor_Pine Flat.2012-07-31 00:00:00', 'stor_Pine Flat.2012-08-31 00:00:00')",1233.481855
"('stor_Shasta.2012-08-31 00:00:00', 'stor_Shasta.2012-09-30 00:00:00')",5614.932874
"('stor_Keswick.2012-08-31 00:00:00', 'stor_Keswick.2012-09-30 00:00:00')",29.35686722
"('stor_Folsom.2012-08-31 00:00:00', 'stor_Folsom.2012-09-30 00:00:00')",1202.644809
"('stor_Nimbus.2012-08-31 00:00:00', 'stor_Nimbus.2012-09-30 00:00:00')",10.85464056
"('stor_New Melones.2012-08-31 00:00:00', 'stor_New Melones.2012-09-30 00:00:00')",2985.02609
"('stor_Pine Flat.2012-08-31 00:00:00', 'stor_Pine Flat.2012-09-30 00:00:00')",1233.481855
"('stor_Shasta.2012-09-30 00:00:00', 'stor_Shasta.2012-10-31 00:00:00')",5614.932874
"('stor_Keswick.2012-09-30 00:00:00', 'stor_Keswick.2012-10-31 00:00:00')",29.35686722
"('stor_Folsom.2012-09-30 00:00:00', 'stor_Folsom.2012-10-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-09-30 00:00:00', 'stor_Nimbus.2012-10-31 00:00:00')",10.85464056
"('stor_New Melones.2012-09-30 00:00:00', 'stor_New Melones.2012-10-31 00:00:00')",2985.02609
"('stor_Pine Flat.2012-09-30 00:00:00', 'stor_Pine Flat.2012-10-31 00:00:00')",1233.481855
"('stor_Shasta.2012-10-31 00:00:00', 'stor_Shasta.2012-11-30 00:00:00')",5614.932874
"('stor_Keswick.2012-10-31 00:00:00', 'stor_Keswick.2012-11-30 00:00:00')",29.35686722
"('stor_Folsom.2012-10-31 00:00:00', 'stor_Folsom.2012-11-30 00:00:00')",1202.644809
"('stor_Nimbus.2012-10-31 00:00:00', 'stor_Nimbus.2012-11-30 00:00:00')",10.85464056
"('stor_New Melones.2012-10-31 00:00:00', 'stor_New Melones.2012-11-30 00:00:00')",2985.02609
"('stor_Pine Flat.2012-10-31 00:00:00', 'stor_Pine Flat.2012-11-30 00:00:00')",1233.481855
"('stor_Shasta.2012-11-30 00:00:00', 'stor_Shasta.2012-12-31 00:00:00')",5614.932874
"('stor_Keswick.2012-11-30 00:00:00', 'stor_Keswick.2012-12-31 00:00:00')",29.35686722
"('stor_Folsom.2012-11-30 00:00:00', 'stor_Folsom.2012-12-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-11-30 00:00:00', 'stor_Nimbus.2012-12-31 00:00:00')",10.85464056
"('stor_New Melones.2012-11-30 00:00:00', 'stor_New Melones.2012-12-31 00:00:00')",2866.74204773
"('stor_Pine Flat.2012-11-30 00:00:00', 'stor_Pine Flat.2012-12-31 00:00:00')",1233.481855
"('stor_Shasta.2012-12-31 00:00:00', 'stor_Shasta.2013-01-31 00:00:00')",5614.932874
"('stor_Keswick.2012-12-31 00:00:00', 'stor_Keswick.2013-01-31 00:00:00')",29.35686722
"('stor_Folsom.2012-12-31 00:00:00', 'stor_Folsom.2013-01-31 00:00:00')",1202.644809
"('stor_Nimbus.2012-12-31 00:00:00', 'stor_Nimbus.2013-01-31 00:00:00')",10.85464056
"('stor_New Melones.2012-12-31 00:00:00', 'stor_New Melones.2013-01-31 00:00:00')",2985.02609
"('stor_Pine Flat.2012-12-31 00:00:00', 'stor_Pine Flat.2013-01-31 00:00:00')",1233.481855
"('stor_Shasta.2013-01-31 00:00:00', 'stor_Shasta.2013-02-28 00:00:00')",5614.932874
"('stor_Keswick.2013-01-31 00:00:00', 'stor_Keswick.2013-02-28 00:00:00')",29.35686722
"('stor_Folsom.2013-01-31 00:00:00', 'stor_Folsom.2013-02-28 00:00:00')",1202.644809
"('stor_Nimbus.2013-01-31 00:00:00', 'stor_Nimbus.2013-02-28 00:00:00')",10.85464056
"('stor_New Melones.2013-01-31 00:00:00', 'stor_New Melones.2013-02-28 00:00:00')",2985.02609
"('stor_Pine Flat.2013-01-31 00:00:00', 'stor_Pine Flat.2013-02-28 00:00:00')",1233.481855
