date,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2012-07-31 00:00:00,2297633.00962,6255315.74832,1366172.10378,6489986.91092,1789163.79788,683946.786177
2012-08-31 00:00:00,347499.144144,5282801.68191,391650.239936,5516109.40284,814604.633429,90514.7217784
2012-09-30 00:00:00,1614615.10453,5916329.30147,1025194.30699,6149637.0224,1448149.6526,1357610.13883
2012-10-31 00:00:00,530919.174755,5375244.47171,483696.058427,5608552.19264,906627.471954,274430.579795
2012-11-30 00:00:00,1.54988917778e-08,5023176.12667,130219.716309,5256480.7054,553148.450911,8.11217082485e-09
2012-12-31 00:00:00,1263578.63954,5835625.32514,945585.888528,6068936.18827,1368525.82651,748405.282864
2013-01-31 00:00:00,433355.358505,5326854.49837,435093.759376,5560162.2193,858012.881743,177131.963831
2013-02-28 00:00:00,1053960.79112,5637182.03037,745407.847789,5870489.7513,1168326.19193,797754.187836
2013-03-31 00:00:00,4.50968594099e-08,5048319.54573,154959.988976,5281625.23112,577865.365603,8.08981235183e-09
2013-04-30 00:00:00,335550.597316,5390394.61452,498579.791442,5622349.90146,921495.383832,1.48722108919e-08
2013-05-31 00:00:00,207061.530436,5213927.8412,322046.274981,5447232.27612,744958.593096,3.1725052158e-08
2013-06-30 00:00:00,983292.068272,5600565.43908,710108.096959,5835230.91555,1133024.0726,558969.467679
2013-07-31 00:00:00,660251.076606,5440772.03907,548756.855983,5674079.75999,971661.249033,404345.48916
2013-08-31 00:00:00,1.37614608153e-07,5054736.28675,161269.124842,5288040.09637,584168.265123,1.83800859591e-08
2013-09-30 00:00:00,417259.911943,5397915.86007,505993.789933,5629877.9862,928902.89393,3.75283224832e-08
2013-10-31 00:00:00,727234.819942,5472878.01913,582232.053535,5707535.24616,1005137.58764,399507.637551
2013-11-30 00:00:00,2672710.30236,6447174.66741,1555065.75539,6680482.38834,1977964.72263,2416921.78477
2013-12-31 00:00:00,2.94854751436e-07,4696037.43321,2.41280588088e-07,4929344.87622,224646.064878,8.48559019164e-09
2014-01-31 00:00:00,2541198.78794,6809402.7189,1709994.55189,7042710.71775,2341176.96841,1.11176260116e-08
2014-02-28 00:00:00,8.23690983382e-09,4508839.43486,4.15491810203e-08,4742750.52622,2.6378548793e-08,1.92121795112e-09
2014-03-31 00:00:00,1.01311218192e-08,4874335.50024,5.49348117952e-08,5107040.66977,3.05918065899e-08,2.2803142999e-09
2014-04-30 00:00:00,1.30596985048e-08,4638368.1795,8.59948079845e-08,4871675.20443,5.17376144369e-08,2.59963749067e-09
2014-05-31 00:00:00,1.57473931316e-08,4622637.51583,1.83033884691e-07,4855945.18117,151968.32848,2.82162083498e-09
