date,DELTA,INFLOW,flow_Folsom,flow_Keswick,flow_New Melones,flow_Nimbus,flow_Pine Flat,flow_Shasta,spill_Folsom,spill_Keswick,spill_New Melones,spill_Nimbus,spill_Pine Flat,spill_Shasta,stor_Folsom,stor_Keswick,stor_New Melones,stor_Nimbus,stor_Pine Flat,stor_Shasta
2011-08-31 00:00:00,-1.12588196981e-08,1.11337476494e-08,-3506271.30469,-3.65913702805e-08,-1.02527221434e-07,-6.64824145028e-08,-6.05698175317e-08,-3506271.30469,-60249641.6187,-56798334.5413,-56784030.9578,-56798222.1184,-56784116.0722,-60257287.9106,-7012542.60937,-3506271.30469,-3506271.30469,-3506271.30469,-3506271.30469,-7012542.60937
2011-09-30 00:00:00,-1.69360122094e-09,1.35556248093e-08,-3878965.27887,-3.90730315884e-09,-5.39760715054e-08,-1.08392933794e-08,-9.91814734664e-08,-3878965.27887,-60803045.4024,-56985092.9998,-56969575.9174,-56984971.5357,-56969634.9802,-60606545.5129,-7757930.55775,-3878965.27887,-3878965.27887,-3878965.27887,-3878965.27887,-7106346.06277
2011-10-31 00:00:00,-1.36058498708e-07,1.6620510767e-08,-3814054.68342,-905.30958299,-154009.155698,-907.69546008,-2.72116997397e-07,-3530418.46854,-60465897.7446,-56744628.4942,-56837269.3937,-56772718.5392,-56695003.0898,-60193916.7019,-7142878.23942,-3329275.04254,-3482829.32302,-3329278.02658,-3327916.13274,-6859239.63642
2011-11-30 00:00:00,-1.36791803356e-08,1.65114598574e-08,-3319821.82976,-3.10233332097e-08,-1.28517677694e-07,-290.449653971,-1.62056070739e-07,-3318941.46248,-59994360.0009,-56704146.199,-56690826.3516,-56700904.3502,-56690748.3041,-59980433.7208,-6639053.719,-3318941.46248,-3318941.46248,-3319485.94352,-3318941.46248,-6637882.92497
2011-12-31 00:00:00,-5.42594598346e-08,1.69292866694e-08,-3100703.1497,-905.212080993,-1.52663189357e-07,-3.27826618773e-07,-2.7106915669e-07,-3298731.65931,-59650572.0773,-56624235.4372,-56582085.1259,-56595344.8106,-56582134.1733,-59848883.0774,-6201406.2994,-3102061.93756,-3100703.1497,-3100703.1497,-3100703.1497,-6400339.75156
2012-01-31 00:00:00,-1.05493282739e-08,1.41181112639e-08,-2900637.44217,-907.247136695,-3.97457888833e-08,-2.89115390782e-08,-1.74959172544e-07,-3286960.25163,-59276672.6091,-56542764.6007,-56482483.7261,-56495397.142,-56482968.2772,-59733272.4791,-5801274.88433,-2901998.7754,-2900637.44217,-2900637.44217,-2900637.44217,-6188504.67715
2012-03-31 00:00:00,-1.1945725788e-07,5.7342225581e-09,-2815030.31281,-909.014319421,-364688.505288,-908.23577163,-2.38914515745e-07,-3829739.38309,-58894652.4169,-56323499.2801,-56460938.697,-56222502.5499,-56118769.3472,-59873343.7816,-4987173.02696,-2172598.41739,-2536830.25752,-2172597.44389,-2171234.87439,-6001882.88094
2012-04-30 00:00:00,-4.43587789832e-08,5.06246420961e-09,-2751448.00263,-909.185138521,-279914.676291,-908.640988065,-8.87175579643e-08,-3991544.8986,-58676833.1333,-56224844.6542,-56229534.214,-56098023.1804,-55969619.6651,-58760407.2457,-4623475.97248,-1872483.54224,-2151940.68083,-1872482.86186,-1871119.78566,-5863573.41613
2012-05-31 00:00:00,-1.57553338707e-08,8.05267267733e-09,-2127126.46562,-908.938326093,-1.21852186355e-07,-5.1094851332e-08,-5.4592876644e-08,-3613432.74362,-58195956.3376,-56270756.3366,-56097614.3833,-56108887.0162,-56097529.8093,-63180369.5612,-4254252.93124,-2128489.91361,-2127126.46562,-2127126.46562,-2127126.46562,-5741467.77488
2012-06-30 00:00:00,-3.05390425195e-08,1.44738386294e-08,-1971462.19835,-909.049548064,-1.64979115882e-07,-1.04862245435e-07,-1.14913261731e-07,-3643697.53637,-57960804.3324,-56236200.1109,-56019272.1169,-56030111.1449,-56019415.1536,-60351249.8388,-3942924.3967,-1972825.7854,-1971462.19835,-1971462.19835,-1971462.19835,-5616068.36223
2012-07-31 00:00:00,-4.03770898623e-08,1.8576224761e-08,-2064709.4897,-908.933280023,-1.93403635654e-07,-1.30598847421e-07,-1.80278227292e-07,-3418575.18717,-58098138.4413,-56275227.0404,-56065937.0066,-56077197.0345,-56066080.9367,-58417245.8244,-4129418.97939,-2066072.93137,-2064709.4897,-2064709.4897,-2064709.4897,-5484193.18861
2012-08-31 00:00:00,-1.86695995685e-08,1.83281862255e-08,-3014347.04936,-5.51779050429e-08,-1.67672601915e-07,-9.93431524187e-08,-1.60210947109e-07,-3014347.04936,-59518624.1823,-56553121.401,-56539930.7104,-56552734.7842,-56539793.9174,-59518523.6235,-6028694.09872,-3014347.04936,-3014347.04936,-3014347.04936,-3014347.04936,-6028694.09872
2012-09-30 00:00:00,-2.07451853689e-08,2.03244945183e-08,-2990107.10094,-5.71438402031e-08,-1.79877941602e-07,-1.10987538013e-07,-3.17915017683e-07,-2990107.10094,-59480181.6328,-56538885.4474,-56526306.2312,-56539328.272,-56526437.5036,-59476880.3381,-5980214.20187,-2990107.10094,-2990107.10094,-2990107.10094,-2990107.10094,-5980214.20187
2012-10-31 00:00:00,-2.31605456441e-08,2.26374250683e-08,-3599394.77208,-6.14328785628e-08,-2.27155509687e-07,-1.32827892664e-07,-3.53436274424e-07,-3599394.77208,-60387764.3955,-56845031.3457,-56830616.7739,-56844983.485,-56830572.7911,-60387634.1547,-7198789.54416,-3599394.77208,-3599394.77208,-3599394.77208,-3599394.77208,-7198789.54416
2012-11-30 00:00:00,-3.78250328226e-09,1.26355827114e-08,-3667597.61346,-9.46949728869e-09,-1.64803744078e-07,-1.63163084395e-08,-3.97368129589e-07,-3667597.61346,-60487740.0149,-56879074.8173,-56864859.6603,-56879153.0381,-56864581.0698,-58427822.9645,-7335195.22693,-3667597.61346,-3667597.61346,-3667597.61346,-3667597.61346,-7335195.22693
2012-12-31 00:00:00,-5.14954801335e-08,4.84339109916e-09,-3572595.55765,-907.556072396,-1.28352076486e-07,-905.043774587,-2.07551995526e-07,-3830960.74916,-60265649.2162,-56810939.929,-56721661.3267,-56768790.4064,-56722057.3766,-62205220.315,-6955870.71843,-3383732.10981,-3382370.39027,-3383728.96761,-3382370.39027,-7214238.42008
2013-01-31 00:00:00,-1.15116285078e-08,1.13809091972e-08,-3912315.80462,-3.13331645649e-08,-1.3565423525e-07,-5.55816636539e-08,-1.8781335229e-07,-3912315.80462,-60852371.403,-57002022.9179,-56986325.7306,-57001857.8475,-56986252.3879,-60852695.3501,-7824631.60923,-3912315.80462,-3912315.80462,-3912315.80462,-3912315.80462,-7824631.60923
2013-02-28 00:00:00,-1.23649916209e-08,1.22143002316e-08,-3932128.67266,-3.24327060929e-08,-1.25619034992e-07,-7.36432202702e-08,-1.82043937608e-07,-3932128.67266,-60879819.2504,-57011064.7284,-56995399.1931,-57011195.0454,-56995471.9223,-60881011.3092,-7864257.34531,-3932128.67266,-3932128.67266,-3932128.67266,-3932128.67266,-7864257.34531
2013-03-31 00:00:00,-4.19875979367e-09,1.05634805665e-08,-4262269.0727,-9.86083602458e-09,-1.01267719785e-07,-2.78579910323e-08,-1.15518528301e-07,-4262269.0727,-61371011.2998,-57177133.7206,-57160438.1995,-57177170.4885,-57160079.5874,-60035023.1476,-8524538.14539,-4262269.0727,-4262269.0727,-4262269.0727,-4262269.0727,-8524538.14539
