link,value
"('stor_Nimbus.2010-12-31 00:00:00', 'spill_Nimbus.2010-12-31 00:00:00')",-9.99983968389e-09
"('spill_Nimbus.2010-12-31 00:00:00', 'flow_Nimbus.2010-12-31 00:00:00')",-9.99983971087e-09
"('flow_Nimbus.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",297.909908662
"('INFLOW.2010-12-31 00:00:00', 'stor_New Melones.2010-12-31 00:00:00')",214.632553327
"('stor_New Melones.2010-12-31 00:00:00', 'flow_New Melones.2010-12-31 00:00:00')",1.0570474913e-11
"('stor_New Melones.2010-12-31 00:00:00', 'spill_New Melones.2010-12-31 00:00:00')",-9.99982768141e-09
"('spill_New Melones.2010-12-31 00:00:00', 'flow_New Melones.2010-12-31 00:00:00')",-9.99981556663e-09
"('flow_New Melones.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",-9.98920894253e-09
"('INFLOW.2010-12-31 00:00:00', 'stor_Pine Flat.2010-12-31 00:00:00')",362.099404671
"('stor_Pine Flat.2010-12-31 00:00:00', 'flow_Pine Flat.2010-12-31 00:00:00')",48.0801113261
"('stor_Pine Flat.2010-12-31 00:00:00', 'spill_Pine Flat.2010-12-31 00:00:00')",-9.99983969698e-09
"('spill_Pine Flat.2010-12-31 00:00:00', 'flow_Pine Flat.2010-12-31 00:00:00')",-9.9998396978e-09
"('flow_Pine Flat.2010-12-31 00:00:00', 'DELTA.2010-12-31 00:00:00')",48.0801113161
"('SUPERSOURCE', 'INFLOW.2011-01-31 00:00:00')",1305.03341816
"('DELTA.2011-01-31 00:00:00', 'SUPERSINK')",2638.22593158
"('INFLOW.2011-01-31 00:00:00', 'stor_Shasta.2011-01-31 00:00:00')",551.018842996
"('stor_Shasta.2011-01-31 00:00:00', 'flow_Shasta.2011-01-31 00:00:00')",1065.51660201
"('stor_Shasta.2011-01-31 00:00:00', 'spill_Shasta.2011-01-31 00:00:00')",-9.99983951311e-09
"('spill_Shasta.2011-01-31 00:00:00', 'flow_Shasta.2011-01-31 00:00:00')",-9.99983943989e-09
"('flow_Shasta.2011-01-31 00:00:00', 'stor_Keswick.2011-01-31 00:00:00')",1065.516602
"('INFLOW.2011-01-31 00:00:00', 'stor_Keswick.2011-01-31 00:00:00')",9.99713798799e-09
"('stor_Keswick.2011-01-31 00:00:00', 'flow_Keswick.2011-01-31 00:00:00')",1065.51660202
"('stor_Keswick.2011-01-31 00:00:00', 'spill_Keswick.2011-01-31 00:00:00')",-9.99983946527e-09
"('spill_Keswick.2011-01-31 00:00:00', 'flow_Keswick.2011-01-31 00:00:00')",-9.99983948786e-09
"('flow_Keswick.2011-01-31 00:00:00', 'DELTA.2011-01-31 00:00:00')",1065.51660201
"('INFLOW.2011-01-31 00:00:00', 'stor_Folsom.2011-01-31 00:00:00')",404.802704775
"('stor_Folsom.2011-01-31 00:00:00', 'flow_Folsom.2011-01-31 00:00:00')",1378.73307387
"('stor_Folsom.2011-01-31 00:00:00', 'spill_Folsom.2011-01-31 00:00:00')",-9.9998395136e-09
