link,value
"('stor_Nimbus.2012-08-31 00:00:00', 'stor_Nimbus.2012-09-30 00:00:00')",10.8546406685
"('stor_New Melones.2012-08-31 00:00:00', 'stor_New Melones.2012-09-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-08-31 00:00:00', 'stor_Pine Flat.2012-09-30 00:00:00')",1233.48186733
"('stor_Shasta.2012-09-30 00:00:00', 'stor_Shasta.2012-10-31 00:00:00')",5614.93293015
"('stor_Keswick.2012-09-30 00:00:00', 'stor_Keswick.2012-10-31 00:00:00')",29.3568675136
"('stor_Folsom.2012-09-30 00:00:00', 'stor_Folsom.2012-10-31 00:00:00')",1202.64482103
"('stor_Nimbus.2012-09-30 00:00:00', 'stor_Nimbus.2012-10-31 00:00:00')",10.8546406685
"('stor_New Melones.2012-09-30 00:00:00', 'stor_New Melones.2012-10-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-09-30 00:00:00', 'stor_Pine Flat.2012-10-31 00:00:00')",1233.48186733
"('stor_Shasta.2012-10-31 00:00:00', 'stor_Shasta.2012-11-30 00:00:00')",5614.93293015
"('stor_Keswick.2012-10-31 00:00:00', 'stor_Keswick.2012-11-30 00:00:00')",29.3568675136
"('stor_Folsom.2012-10-31 00:00:00', 'stor_Folsom.2012-11-30 00:00:00')",1202.64482103
"('stor_Nimbus.2012-10-31 00:00:00', 'stor_Nimbus.2012-11-30 00:00:00')",10.8546406685
"('stor_New Melones.2012-10-31 00:00:00', 'stor_New Melones.2012-11-30 00:00:00')",2985.02611985
"('stor_Pine Flat.2012-10-31 00:00:00', 'stor_Pine Flat.2012-11-30 00:00:00')",1233.48186733
"('stor_Shasta.2012-11-30 00:00:00', 'stor_Shasta.2012-12-31 00:00:00')",4506.7017311
"('stor_Keswick.2012-11-30 00:00:00', 'stor_Keswick.2012-12-31 00:00:00')",29.3568675136
"('stor_Folsom.2012-11-30 00:00:00', 'stor_Folsom.2012-12-31 00:00:00')",619.512992245
